"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2033-04-01,2025-11-04,60000,5.58,"LP"
"CLP",2056-04-01,2025-11-04,24000,5.75,"LP"
"UF",2030-09-01,2025-11-04,1.5,2.3,"CP"
"CLP",2026-10-26,2025-11-06,2e+05,4.4,"CP"
"CLP",2035-03-01,2025-11-06,40000,5.56,"LP"
"UF",2028-10-01,2025-11-06,1.5,2.12,"LP"
"UF",2055-11-01,2025-11-06,0.85,2.5,"LP"
"CLP",2026-07-24,2025-11-20,130000,4.32,"CP"
"CLP",2033-04-01,2025-11-20,60000,5.41,"LP"
"CLP",2056-04-01,2025-11-20,25000,5.69,"LP"
"UF",2030-09-01,2025-11-20,1.5,2.24,"CP"
"CLP",2026-08-26,2025-11-25,80000,4.25,"CP"
"UF",2028-10-01,2025-11-25,1,1.96,"LP"
"CLP",2026-08-26,2025-12-11,20000,4.25,"CP"
"CLP",2033-04-01,2025-12-11,65000,5.39,"LP"
"UF",2030-09-01,2025-12-11,1.8,2.26,"CP"
"UF",2055-11-01,2025-12-11,0.9,2.45,"LP"
"CLP",2033-04-01,2025-12-17,60000,5.4,"LP"
"CLP",2035-03-01,2025-12-17,39000,5.41,"LP"
"UF",2028-10-01,2025-12-17,1.5,2,"LP"
"CLP",2026-11-23,2026-01-23,350000,4.2,"CP"
"CLP",2028-10-01,2026-01-23,NA,NA,"LP"
"CLP",2056-04-01,2026-01-23,25000,5.61,"LP"
"UF",2031-07-15,2026-01-23,1.2,2.23,"CP"
"CLP",2026-09-29,2026-01-27,350000,4.18,"CP"
"CLP",2032-07-15,2026-01-27,80000,5.25,"CP"
"UF",2028-10-01,2026-01-27,0.8,1.96,"LP"
"UF",2055-11-01,2026-01-27,0.67,2.38,"LP"
"CLP",2026-06-22,2026-01-29,3e+05,4.45,"CP"
"CLP",2028-10-01,2026-01-29,60000,4.62,"LP"
"CLP",2056-04-01,2026-01-29,25000,5.55,"LP"
"UF",2031-07-15,2026-01-29,1.2,2.16,"CP"
"CLP",2032-07-15,2026-02-03,80000,5.22,"CP"
"UF",2028-10-01,2026-02-03,0.8,1.82,"LP"
"UF",2055-11-01,2026-02-03,0.9,2.38,"LP"
"CLP",2026-11-23,2026-02-05,350000,4.19,"CP"
"CLP",2028-10-01,2026-02-05,60000,4.65,"LP"
"CLP",2056-04-01,2026-02-05,25000,5.53,"LP"
"UF",2031-07-15,2026-02-05,1.2,2.11,"CP"
"CLP",2032-07-15,2026-02-10,80000,5.22,"CP"
"UF",2028-10-01,2026-02-10,0.8,1.8,"LP"
